table_name,total_rows,sampled,analyzed_rows,column_count,issues_found,columns_with_issues,status,duration_seconds,audit_timestamp,table_type,created_time,partition_column,partition_type,clustering_columns
fct_avaibility_part,3877353,true,10000,13,2,1,WARNING,0.07,2025-10-22T20:01:22.056412,BASE TABLE,2025-10-22 09:22:21.004000+00:00,collected_at,TIME,station_code
dim_station,1587,false,1587,9,3,2,WARNING,0.03,2025-10-22T20:01:37.236923,BASE TABLE,2025-10-22 01:00:49.805000+00:00,"","",""
dtm_station_distance,2516982,true,10000,5,4,2,WARNING,0.03,2025-10-22T20:01:52.829074,BASE TABLE,2025-10-22 01:00:56.165000+00:00,"","",""
