table_name,total_rows,analyzed_rows,sampled,column_name,column_dtype,null_count,null_pct,distinct_count,issue_type,issue_count,issue_pct,suggestion,examples,audit_timestamp
fct_avaibility_part,3877353,10000,true,station_name,String,0,0.0,1460,CASE_DUPLICATES,1,0.0,"","[('place du général de gaulle', ['Place Du Général De Gaulle', 'Place du Général de Gaulle'])]",2025-10-25 18:55:26 UTC
fct_avaibility_part,3877353,10000,true,station_name,String,0,0.0,1460,SPECIAL_CHARACTERS,3846,38.46,"","['Mairie du 8ème', 'Place François Mitterand']",2025-10-25 18:55:26 UTC
fct_avaibility_part,3877353,10000,true,bikes_available,Int64,0,0.0,73,VALUE_NOT_GREATER_THAN,256,2.56,Values should be > 0,"['0', '0', '0']",2025-10-25 18:55:26 UTC
fct_avaibility_part,3877353,10000,true,bikes_available,Int64,0,0.0,73,DUPLICATE_VALUES,9927,99.27,Column should contain only unique values. Found 65 distinct value(s) with duplicates.,"['3 [count=745]', '2 [count=721]', '4 [count=647]']",2025-10-25 18:55:26 UTC
