table1,column1,table2,column2,confidence,relationship_type,direction,matching_values
fct_avaibility_part,station_code,dim_station,station_code,0.9682419659735351,many-to-one,table1_to_table2,1461
fct_avaibility_part,station_name,dim_station,station_name,0.9712101910828026,many-to-one,table1_to_table2,1457
fct_avaibility_part,capacity,dim_station,capacity,0.9616438356164385,many-to-many,bidirectional,66
